City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Guthrie,US,2021-07-29 02:09:37,35.8789,-97.4253,90.68,80,0,5.75
233,Champasak,LA,2021-07-29 02:09:38,14.75,106.0,78.89,89,100,2.51
234,Formosa,AR,2021-07-29 02:09:38,-26.1775,-58.1781,39.18,75,0,3.44
235,Pisco,PE,2021-07-29 02:09:38,-13.7,-76.2167,62.65,82,5,9.22
236,Varzea Grande,BR,2021-07-29 02:09:39,-15.6467,-56.1325,57.07,47,0,11.5
237,Warwick,US,2021-07-29 02:09:39,41.7001,-71.4162,67.89,87,20,5.75
238,Ahipara,NZ,2021-07-29 02:09:39,-35.1667,173.1667,62.04,70,43,8.39
239,Rawson,AR,2021-07-29 02:09:40,-43.3002,-65.1023,47.21,59,17,4.05
240,Berlevag,NO,2021-07-29 02:09:40,70.8578,29.0864,46.33,93,100,10.22
241,Katsuura,JP,2021-07-29 02:09:40,35.1333,140.3,87.91,76,22,14.63
242,Pucara,PE,2021-07-29 02:09:41,-15.9803,-71.4606,33.33,56,41,4.76
243,Lafia,NG,2021-07-29 02:09:41,8.4833,8.5167,72.0,85,98,2.19
244,Pierre,US,2021-07-29 02:09:42,44.3683,-100.351,88.72,51,1,26.46
245,Zharkent,KZ,2021-07-29 02:09:42,44.1628,80.0,79.66,27,2,8.16
246,Minab,IR,2021-07-29 02:09:43,27.1467,57.0801,93.79,41,92,3.47
247,Tabuk,PH,2021-07-29 02:09:43,17.4189,121.4443,86.65,67,100,3.85
248,Cabadiangan,PH,2021-07-29 02:09:43,9.7531,122.4739,85.73,77,35,13.98
249,Coahuayana,MX,2021-07-29 02:09:44,18.7333,-103.6833,78.28,84,55,0.58
250,Broome,US,2021-07-29 02:09:44,42.2506,-75.833,63.64,93,0,1.86
251,Espanola,US,2021-07-29 02:05:30,35.9911,-106.0806,80.58,64,100,6.49
